timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892728482,235,Get Single User,200,OK,Load Configuration 1-1,text,true,,1977,244,3,3,https://reqres.in/api/users/2,86,0,42
1723892728482,86,Get Single User-0,301,Moved Permanently,Load Configuration 1-1,text,true,,787,122,3,3,http://reqres.in/api/users/2,86,0,42
1723892728569,148,Get Single User-1,200,OK,Load Configuration 1-1,text,true,,1190,122,3,3,https://reqres.in/api/users/2,148,0,81
1723892728580,270,Get Single User,200,OK,Load Configuration 1-2,text,true,,1979,244,4,4,https://reqres.in/api/users/2,87,0,29
1723892728580,87,Get Single User-0,301,Moved Permanently,Load Configuration 1-2,text,true,,789,122,4,4,http://reqres.in/api/users/2,87,0,29
1723892728668,182,Get Single User-1,200,OK,Load Configuration 1-2,text,true,,1190,122,4,4,https://reqres.in/api/users/2,182,0,126
1723892728680,276,Get Single User,200,OK,Load Configuration 1-3,text,true,,1971,244,5,5,https://reqres.in/api/users/2,155,0,106
1723892728680,155,Get Single User-0,301,Moved Permanently,Load Configuration 1-3,text,true,,781,122,5,5,http://reqres.in/api/users/2,155,0,106
1723892728836,120,Get Single User-1,200,OK,Load Configuration 1-3,text,true,,1190,122,5,5,https://reqres.in/api/users/2,120,0,65
1723892728780,208,Get Single User,200,OK,Load Configuration 1-4,text,true,,1973,244,6,6,https://reqres.in/api/users/2,74,0,20
1723892728780,74,Get Single User-0,301,Moved Permanently,Load Configuration 1-4,text,true,,783,122,6,6,http://reqres.in/api/users/2,74,0,20
1723892728855,133,Get Single User-1,200,OK,Load Configuration 1-4,text,true,,1190,122,6,6,https://reqres.in/api/users/2,133,0,74
1723892728881,290,Get Single User,200,OK,Load Configuration 1-5,text,true,,1975,244,7,7,https://reqres.in/api/users/2,72,0,22
1723892728881,72,Get Single User-0,301,Moved Permanently,Load Configuration 1-5,text,true,,785,122,7,7,http://reqres.in/api/users/2,72,0,22
1723892728954,217,Get Single User-1,200,OK,Load Configuration 1-5,text,true,,1190,122,7,7,https://reqres.in/api/users/2,217,0,58
1723892728719,457,POST method Create User,200,OK,Load Configuration 1-1,text,true,,882,243,7,7,https://reqres.in/api/login,457,0,0
